date,yield_ust,interest_rate,inflation_rate,gdp_growth,unemployment_rate,trade_balance,consumer_confidence,housing_starts,retail_sales,foreign_reserves,equity_index
2023-01-01,2.0248357076505616,1.4324821725025618,1.8273012790070131,2.665775592530074,4.996697473628044,-13.39247365243611,111.74814057585692,1455.1518088903626,543.9653646354489,306.4367038004554,2034.8286247666817
2023-01-02,2.0179224925920023,1.4855481329284481,1.9937593022121831,2.810720749878663,4.94963497396244,-11.527497315268265,81.21019055246173,1457.833056269084,501.96545993717325,284.37284608766106,2028.3323592535667
2023-01-03,2.050306919497037,1.420758007900004,2.0036033744088892,2.7173819449277268,4.982762504254634,-12.986905305225715,96.72204944122537,1947.085486951392,454.3837242966821,313.8271276216105,1906.3480154194508
2023-01-04,2.1264584123174384,1.469203847036096,2.094526069168681,2.8356012543776585,5.07147317275177,-9.447909765269403,99.58339976618666,1661.86218078626,476.8750423400015,288.1927661638934,2057.958422176374
2023-01-05,2.1147507435812716,1.3106385333046213,1.7266283273438348,2.9357549067866433,5.127785665503051,-4.014107342690436,100.15908658399631,1996.1301835024285,517.1426732890824,314.99110074890257,1850.9917324423382
2023-01-06,2.1030438957338125,1.521329370737294,2.118513454769466,3.251146345899415,5.057048733086357,-13.855210785706022,101.80496056078081,1400.6073734158997,590.9232189190797,294.5177704923856,1934.581567423967
2023-01-07,2.182004536509182,1.5001205475362225,1.4591216736794448,2.9036522883882894,5.010172320847177,-4.99589751115793,106.10439819809493,1483.0066806223706,475.7990188401861,265.57905748740677,1800.0912187102192
2023-01-08,2.2203762729668277,1.418291136893181,1.8740230895272378,2.5243122879691224,5.149801177030443,-13.908360361734438,99.6459256095465,1233.5748469446705,540.2393721763699,280.3516751903813,2155.8626516962813
2023-01-09,2.19690255367008,1.5659245668432404,1.9023452315096911,3.342020353948548,4.968716352694848,-14.238136062484422,96.3194171785632,1338.0866395820856,483.597177466162,291.39170582625434,1976.8450506054705
2023-01-10,2.224030555849378,1.5937570137626558,2.1266653652142478,2.748872959915488,5.103091933836691,-5.9070269082839335,95.92410655340305,1880.3826297325002,505.5234377943068,327.3637804749716,2216.688403481631
2023-01-11,2.200859671208755,1.3392440135631025,2.0045261705353736,2.9823838718686115,4.971193720164872,-5.390318109961917,93.88484197961645,1395.5931420316488,575.7698374631797,318.0228726105845,2080.2949926519495
2023-01-12,2.1775731835302423,1.4237275221433785,1.7188873892287426,3.1339609520822136,5.04310229580109,-5.742950316186729,107.87543324326865,1883.856260028892,538.2146290710217,332.47722824644285,2044.8098213351025
2023-01-13,2.1896712971085437,1.4230857650212703,1.803001374836597,3.0598831255208347,4.988643743520955,-16.578987041090706,93.53471520523486,1251.3275478640219,437.93503636295213,333.07270432059715,1941.3772305719
2023-01-14,2.094007284875654,1.4060096898891135,2.0397360019094815,3.3282538642564425,4.994414781734719,-12.329754890360254,108.46771109008245,1289.3061931853447,471.3762488094205,289.3049839081817,1895.364996431258
2023-01-15,2.0077613932500022,1.5829474841931748,1.9841865316270888,3.1437009430178278,4.962261348253779,-5.885057039983393,100.18999082259872,1431.7537557953158,562.8110672220679,296.23026280482344,2052.2971573896943
2023-01-16,1.9796470167879536,1.4806173861227196,1.8841751780728506,2.7416071260908677,5.134485403118069,-9.792290797180527,94.78745193143871,1487.2500156641645,507.0939021314248,291.77440151338925,1992.8485990727017
2023-01-17,1.9290054607712326,1.473548515868939,1.903833242097604,3.6535686521974986,4.926707396189147,-15.368464230987321,106.18407215744135,1684.617458490026,442.55799401920683,286.56978789397846,1866.07296845147
2023-01-18,1.9447178274009962,1.2996137635593246,2.139233599431858,3.05830003900147,4.925976774745129,-7.708410304372792,92.72546075276881,1590.1540834372531,459.05237775131394,263.1701058132708,1848.314158349168
2023-01-19,1.8993166236249357,1.5635418030209227,1.896461485426157,2.955797932013548,5.212099356584511,-13.574036294957352,106.38184040728213,1416.7369485311945,535.1746761355586,299.7050456396631,1904.1296270856417
2023-01-20,1.828701438558171,1.3760741605146527,1.9823817511941852,3.289177626916671,5.097784756465433,-1.0273757580389393,102.12726121191785,1473.3368386963787,549.7205140608816,274.2886881257778,2182.096722526623
2023-01-21,1.9019838770042488,1.5059932630266328,2.4339873176161086,3.074835283779022,4.761488630130696,-2.275792687908708,94.03675310908079,1436.18741604306,500.8927650741087,299.31656236931343,2221.3277918011304
2023-01-22,1.890695061979922,1.5277376937958191,1.7152634726232154,3.119768457881798,4.94347412607896,-6.979512868222164,105.28634815334559,1317.069252934854,623.765690046805,342.3154161912597,2020.4989147308909
2023-01-23,1.8940714722143182,1.636065859583865,1.6296314536850682,3.747655199580206,4.818801066243795,-3.194966476151132,105.4658972568864,1322.4074126796756,541.207618172782,289.81309807338585,2014.8942796241288
2023-01-24,1.8228340629036452,1.3691179600880887,2.1567179329597215,2.917463571523486,4.904930930658474,-9.676043249383094,111.57519605809958,1705.576778286682,487.82594651835495,303.89548011256136,1966.367962817048
2023-01-25,1.7956149266773862,1.1980487844179175,1.8642713877411794,2.904671731794781,4.6861485333765955,-6.17281252812492,109.66147012409296,1134.367014414572,459.2146975950328,318.13296771618565,1906.5514651690498
2023-01-26,1.8011610561628795,1.5183849544753696,1.936352494451476,3.034973553603739,4.986301042230606,-2.6113985234896253,104.91274020726283,1823.4717394890108,451.25578476804793,305.60582583931813,2137.5179057607243
